19300504,120,54,SLA,8,070001000,16,0,WS1,6,200000004,16,0
19300504,131,52,PHI,7,003020002,15,0,CHN,8,400010021,19,0
19300504,105,51,NY1,4,000020011,13,0,CIN,8,01025000x,15,0
19300504,106,54,BRO,2,002000000,15,0,SLN,1,100000000,17,0
19300504,181,78,BRO,11,3000302000003,16,0,SLN,10,1000020140002,18,0
19300505,123,51,CLE,3,200000100,16,0,BOS,18,01219113x,17,0
19300505,111,51,CHA,1,010000000,14,0,NYA,4,00000031x,15,0
19300505,128,69,SLA,3,120000000000,17,1,PHA,4,001011000001,16,0
19300505,135,54,DET,3,000000210,20,2,WS1,1,000000100,17,0
19300505,127,51,BSN,6,000005010,14,1,CIN,10,00105400x,16,1
19300505,103,54,NY1,9,100500003,14,1,PIT,1,000000001,16,0
19300506,103,54,CHA,4,000040000,15,0,BOS,3,001110000,18,0
19300506,155,54,CLE,7,000040210,17,0,NYA,6,100110201,16,0
19300506,110,51,SLA,1,000000010,18,0,PHA,4,00020020x,17,0
19300506,120,51,DET,4,012000001,21,0,WS1,5,30001001x,18,2
19300506,97,51,BRO,1,100000000,17,1,CHN,3,30000000x,20,0
19300506,119,54,BSN,4,310000000,15,1,CIN,3,100020000,17,0
19300506,115,54,NY1,11,204030020,15,0,PIT,9,201000060,17,0
19300507,115,51,CHA,4,200010010,16,0,BOS,6,11211000x,19,0
19300507,134,51,CLE,7,000201040,18,0,NYA,8,11051000x,17,0
19300507,110,54,SLA,2,002000000,19,1,PHA,1,000001000,18,0
19300507,126,54,DET,3,011100000,22,0,WS1,1,000100000,19,0
19300507,123,51,BRO,5,400001000,18,0,CHN,9,02202300x,21,0
19300507,84,52,BSN,0,000000000,16,0,CIN,1,000000001,18,0
19300507,141,51,NY1,8,010430000,16,0,PIT,16,61233010x,18,1
19300507,146,51,PHI,11,302200220,16,0,SLN,16,01039030x,19,0
19300508,95,51,CHA,1,000001000,17,1,BOS,3,00020100x,20,1
19300508,103,51,SLA,3,002100000,20,0,PHA,7,00132010x,19,0
19300508,124,51,DET,5,200200001,23,0,WS1,8,12113000x,20,0
19300508,103,51,BRO,4,101002000,19,0,CHN,7,10000114x,22,0
19300508,102,51,BSN,1,010000000,17,0,CIN,2,00000002x,19,0
19300508,144,60,NY1,13,2103040003,17,0,PIT,10,1020202120,19,0
19300508,103,51,PHI,5,200001110,17,0,SLN,6,33000000x,20,1
19300509,113,51,SLA,2,000001010,21,0,BOS,5,00000410x,21,0
19300509,139,54,DET,5,102010100,24,0,NYA,4,002020000,18,0
19300509,116,51,CLE,4,200000200,19,0,PHA,9,00302301x,20,0
19300509,117,51,CHA,3,200001000,18,0,WS1,14,33040121x,21,1
19300509,116,51,NY1,5,030110000,18,0,CHN,6,20100003x,23,0
19300509,129,54,PHI,3,020000100,18,1,CIN,1,010000000,20,0
19300509,119,54,BRO,7,000002041,20,1,PIT,4,000000040,20,0
19300509,124,51,BSN,6,001500000,18,0,SLN,10,30402100x,21,0
19300510,83,51,SLA,0,000000000,22,1,BOS,2,00010001x,22,1
19300510,156,51,DET,5,100011002,25,0,NYA,14,00300047x,19,0
19300510,130,51,CLE,4,010003000,20,0,PHA,6,02020020x,21,0
19300510,104,51,CHA,1,001000000,19,0,WS1,5,02201000x,22,1
19300510,112,54,NY1,9,304000110,19,0,CHN,4,200000020,24,0
19300510,121,51,PHI,8,022010003,19,2,CIN,10,40401100x,21,0
19300510,107,54,BRO,7,010301101,21,0,PIT,0,000000000,21,0
19300510,104,51,BSN,1,000010000,19,0,SLN,3,20010000x,22,1
19300511,148,51,PHA,7,000041200,22,0,CLE,25,33172630x,21,0
19300511,158,51,DET,6,102021000,26,0,NYA,7,20401000x,20,0
19300511,110,51,SLA,1,001000000,23,1,BOS,2,00001100x,23,0
19300511,125,60,CHA,5,2000001002,20,2,WS1,3,1002000000,23,1
19300511,120,51,PIT,2,000110000,22,1,BRO,10,30001105x,22,0
19300511,144,54,NY1,9,111120030,20,0,CHN,7,010000141,25,0
19300511,99,52,PHI,4,000300010,20,0,CIN,5,000400001,22,0
19300511,101,51,BSN,3,000002010,20,0,SLN,5,00211100x,23,1
